poem_id,Row_ID,Title_raw,Poem_line_raw,Title_cleaned,Poem_line_cleaned,full_poem,line,qafiya,bahr
4,36,يتيم,يتيـم فـاقد شـوفة امّـه من سـنين      وابوه مـات مْن القـهـر والتجـنّـي,يتيم,يتيم فاقد شوفه امه من سنين      وابوه مات من القهر والتجني,,,,
4,37,يتيم,ما شاف واحد منهم بْـنظرة العين      والحزن يهدم في الضلوع وْيبـنّـي,يتيم,ما شاف واحد منهم بنظره العين      والحزن يهدم في الضلوع ويبني,,,,
4,38,يتيم,تـنزل دمـوعه من لحـون الـمغـنّـين      واهل اللحـون مْن السـعاده تغـنّـي,يتيم,تنزل دموعه من لحون المغنين      واهل اللحون من السعاده تغني,,,,
4,39,يتيم,قالوا تمنّى ؟ قال ابا شوف الاثنين      كـانـه يفـيـد الـميّـتـيـــن التـمنّــي,يتيم,قالوا تمني ؟ قال ابا شوف الاثنين      كانه يفيد الميتين التمني,,,,
4,40,يتيم,يا كامل الأوصـاف ، يا نادر الزين      هذا شعـوري كل ما غبـت عنّـي,يتيم,يا كامل الاوصاف ، يا نادر الزين      هذا شعوري كل ما غبت عني,,,,
4,41,يتيم,كيف آتقبّـل تعزية بُـعدك الشـين      وآشـوف عـذّالي تجـيـك وْتهـنّـي,يتيم,كيف اتقبل تعزيه بعدك الشين      واشوف عذالي تجيك وتهني,,,,
4,42,يتيم,دام الهجر والشـوق والحزن قاسيـن      لـيتـك علـينا يا حـبيـبي تـحـنّـي,يتيم,دام الهجر والشوق والحزن قاسين      ليتك علينا يا حبيبي تحني,,,,
4,43,يتيم,يكفيك فـنّي عن فنون الـمحبّـين      كم مـرّه اسـتطربت والـفـن فـنّـي,يتيم,يكفيك فني عن فنون المحبين      كم مره استطربت والفن فني,,,,
4,44,يتيم,كـنت آتـأنّى من فراقـك مـعي ليـن      طـوّلـت بفراقك ومـات الـتـأنّـي,يتيم,كنت اتاني من فراقك معي لين      طولت بفراقك ومات التاني,,,,
4,45,يتيم,وكان الخطا منّك ، مسامحك هالحين      وكان الخطا منّي ، وش تريد منّـي ؟,يتيم,وكان الخطا منك ، مسامحك هالحين      وكان الخطا مني ، وش تريد مني ؟,,,,
5,46,مرت على بـالي,حبـيـبتي مـرّت على بـالـي الـيـوم      وْ وقّـفــت تـقـديرٍ لـها يوم مـرّت,مرت علي بالي,حبيبتي مرت علي بالي اليوم      و وقفت تقدير لها يوم مرت,,,,
5,47,مرت على بـالي,جابت لي الفرحـه وانا كنت مهـمـوم      الظـاهـر انـها عـن عـلـومي تـحـرّت,مرت علي بالي,جابت لي الفرحه وانا كنت مهموم      الظاهر انها عن علومي تحرت,,,,
5,48,مرت على بـالي,وفراقـها كـوّن فـي خـفّـاقي غـيـوم      أمـطـــارها عـلى الـفـيـافـي لا خـرّت,مرت علي بالي,وفراقها كون في خفاقي غيوم      امطارها علي الفيافي لا خرت,,,,
5,49,مرت على بـالي,تـنـبت من الأزهـار ما كان مـعـدوم      وتسـر نـفـسٍ من زمـن ما اسـتـسـرّت,مرت علي بالي,تنبت من الازهار ما كان معدوم      وتسر نفس من زمن ما استسرت,,,,
5,50,مرت على بـالي,فـي حبّـها حـسّــادي تـكـثّـر اللـوم      وهي ورا عـوج الـضـلـوع اسـتـقــرّت,مرت علي بالي,في حبها حسادي تكثر اللوم      وهي ورا عوج الضلوع استقرت,,,,
5,51,مرت على بـالي,أحلـم بها وآطـيح فـي النوم وآقوم      فرحان .. لكن فرحتي ما اسـتمرّت,مرت علي بالي,احلم بها واطيح في النوم واقوم      فرحان .. لكن فرحتي ما استمرت,,,,
5,52,مرت على بـالي,إلى صـحـيت آعاتـب الـحـظ وآلـوم      الايام .. والأيـام مـنـها تـبــــرّت,مرت علي بالي,الي صحيت اعاتب الحظ والوم      الايام .. والايام منها تبرت,,,,
5,53,مرت على بـالي,الهـجر طـعـنة خاين بْسيف مسمـوم      نـفسـه على فـعـل الـخـيانـه تضــرّت,مرت علي بالي,الهجر طعنه خاين بسيف مسموم      نفسه علي فعل الخيانه تضرت,,,,
5,54,مرت على بـالي,ومن يحرم مْن العشـق يعيش محروم      كـم روح من قل الوصـال استـضـرّت,مرت علي بالي,ومن يحرم من العشق يعيش محروم      كم روح من قل الوصال استضرت,,,,
5,55,مرت على بـالي,لا جيت انام .. النفس ما تعشق النوم      حـاولـت اقـنّـعـها .. لـكـنـها أصـرّت,مرت علي بالي,لا جيت انام .. النفس ما تعشق النوم      حاولت اقنعها .. لكنها اصرت,,,,
5,56,مرت على بـالي,تبـغي حـبيـبة قلـبـي الـغـالــيه دوم      تمـر فـي بـالـي ، وآوقّـف لا مـــرّت,مرت علي بالي,تبغي حبيبه قلبي الغاليه دوم      تمر في بالي ، واوقف لا مرت,,,,
6,57,لا تلبـس ذهـب,إنتـه ذهـب من دون ما تلـبـس ذهـــب      وش لـه تـروح الـســوق وتـدوّر عـلـيـه,لا تلبس ذهب,انته ذهب من دون ما تلبس ذهب      وش له تروح السوق وتدور عليه,,,,
6,58,لا تلبـس ذهـب,سـبـحـان مـن سـوّا .. وْجَـلَّ مـن وهـــب      حــــلاك بـيـدينـك كأنـّـك مـنـتـقـيــه,لا تلبس ذهب,سبحان من سوا .. وجل من وهب      حلاك بيدينك كانك منتقيه,,,,
6,59,لا تلبـس ذهـب,شـفايـفـك جـمـره .. وثـغـرك من لـهـب      خايـف على خـدّك لهـب ثغـرك يجـيه,لا تلبس ذهب,شفايفك جمره .. وثغرك من لهب      خايف علي خدك لهب ثغرك يجيه,,,,
6,60,لا تلبـس ذهـب,لو كان رمـشـك يـنـّـهـب .. كـان انـّـهــب      من كل عاقل شاف رمشك .. أو سـفيه,لا تلبس ذهب,لو كان رمشك ينهب .. كان انهب      من كل عاقل شاف رمشك .. او سفيه,,,,
6,61,لا تلبـس ذهـب,لا ترتـهـب مـا فـيـه واحـد يرتـهـــب      مـن واحـد يْـحـــبّـه وخـفـّـاقـه يـبـيــه,لا تلبس ذهب,لا ترتهب ما فيه واحد يرتهب      من واحد يحبه وخفاقه يبيه,,,,
6,62,لا تلبـس ذهـب,أنا فـْ مـهــب الـريــــح إلاّ انـت فـْ مـهــب      شـوق ٍسـكـن قلـبـي وقـلـبـي مـحـتـويـه,لا تلبس ذهب,انا ف مهب الريح الا انت ف مهب      شوق سكن قلبي وقلبي محتويه,,,,
6,63,لا تلبـس ذهـب,ذهـب مـعـك قلـبـي .. يالـيـتـه ما ذهب      لا قلـت عـوّد قـال انـا بـامـــوت فـيـه,لا تلبس ذهب,ذهب معك قلبي .. ياليته ما ذهب      لا قلت عود قال انا باموت فيه,,,,
6,64,لا تلبـس ذهـب,تـدري وش يْخـلـّي جـروحـي تلتهـب ؟      إنـّي أخـلـّي شــــيّ .. وآنـا مـشـتـهـيـه,لا تلبس ذهب,تدري وش يخلي جروحي تلتهب ؟      اني اخلي شي .. وانا مشتهيه,,,,
7,65,لا تسـأل مجـرّب,حبيـبتي حالـي من الشــوق دانــي      أشــرّق بحـبّــك .. واعـوّد أغـرّب,لا تسال مجرب,حبيبتي حالي من الشوق داني      اشرق بحبك .. واعود اغرب,,,,
7,66,لا تسـأل مجـرّب,أنـانـي فْـ وصـلك لـكـن يالأنـاني      تـرى الأنانـيّـه فْـ طـبـعـك تـخــرّب,لا تسال مجرب,اناني ف وصلك لكن يالاناني      تري الانانيه ف طبعك تخرب,,,,
7,67,لا تسـأل مجـرّب,لحظات حبّـك حطّـمت لي كـياني      والحزن من بين الـمحـاني تـسـرّب,لا تسال مجرب,لحظات حبك حطمت لي كياني      والحزن من بين المحاني تسرب,,,,
7,68,لا تسـأل مجـرّب,تـسـرّب وصـكّـت عـلـيه الـمـحاني      كـنّـه لـوصـلك بالـجـروح يْـتـقـرّب,لا تسال مجرب,تسرب وصكت عليه المحاني      كنه لوصلك بالجروح يتقرب,,,,
7,69,لا تسـأل مجـرّب,يا مْعـرّب الأنـسـاب خـدر العـياني      سِـلْـم العـرب لا تجهـله يـالـمـعـرّب,لا تسال مجرب,يا معرب الانساب خدر العياني      سلم العرب لا تجهله يالمعرب,,,,
7,70,لا تسـأل مجـرّب,شـربت حـبّـك لين فـاض الحناني      وقامـت عروقي من غـلاك تْـشـرّب,لا تسال مجرب,شربت حبك لين فاض الحناني      وقامت عروقي من غلاك تشرب,,,,
7,71,لا تسـأل مجـرّب,ياللي تـقـول اسـأل مجـرّب تـراني      سألـت واحـد .. بس قـام يْـتهــرّب,لا تسال مجرب,ياللي تقول اسال مجرب تراني      سالت واحد .. بس قام يتهرب,,,,
7,72,لا تسـأل مجـرّب,لا تسـأل مجـرّب يا قـلـب وتعـاني      إسأل طبـيب وْ خل عـنك الـمجـرّب,لا تسال مجرب,لا تسال مجرب يا قلب وتعاني      اسال طبيب و خل عنك المجرب,,,,
8,73,قصر زعبيل,للـشـعـر فـكـره وللـهــاجـس مـيـة طــاري      تــرزّ للــقـمّــــــــــه الـعـــلــيـــا بـيــــــــارقـهــا,قصر زعبيل,للشعر فكره وللهاجس ميه طاري      ترز للقمه العليا بيارقها,,,,
8,74,قصر زعبيل,وقـصـيدتي من حـصـيلة نـاتـج افـكــاري      كـل الـقـصـــايـد الى مـن جـات تـفـرقـها,قصر زعبيل,وقصيدتي من حصيله ناتج افكاري      كل القصايد الي من جات تفرقها,,,,
8,75,قصر زعبيل,لـو أبـغــي أغــرّق الـســاحـه بـإبـحـــاري      غـرّقـــتـهــا بس انـا مـا احــــب اغـرّقــهــا,قصر زعبيل,لو ابغي اغرق الساحه بابحاري      غرقتها بس انا ما احب اغرقها,,,,
8,76,قصر زعبيل,أرسـم مـلامـح طـمـوحاتي فـي أشـعـاري      واحـاول اني قبل ما امــــوت احـقـقـهـا,قصر زعبيل,ارسم ملامح طموحاتي في اشعاري      واحاول اني قبل ما اموت احققها,,,,
8,77,قصر زعبيل,واعرف مـقـدار غـيـري قبل مـقــــداري      واخـطاء نـفـسي على غـيـري ما اعـلـّقها,قصر زعبيل,واعرف مقدار غيري قبل مقداري      واخطاء نفسي علي غيري ما اعلقها,,,,
8,78,قصر زعبيل,لـكـن مــشـــوار عـمـــري لى مـتى ســــاري      أرهـقـت نـفـسـي وما ادري لـيه مرهـقـهـا,قصر زعبيل,لكن مشوار عمري لي متي ساري      ارهقت نفسي وما ادري ليه مرهقها,,,,
8,79,قصر زعبيل,قدام تـتـعـب قـدم رجـلـي يـا مـشـواري      الايـــــام ســاعــاتـهـا تـشـــــرح دقـايـقــهـا,قصر زعبيل,قدام تتعب قدم رجلي يا مشواري      الايام ساعاتها تشرح دقايقها,,,,
8,80,قصر زعبيل,مـراحـل الـعـمـر تـجري والـزمـن جـاري      والـنـاس تـفـنـى ويـبـقـى وجـــه خـالـقـهـا,قصر زعبيل,مراحل العمر تجري والزمن جاري      والناس تفني ويبقي وجه خالقها,,,,
8,81,قصر زعبيل,وانـا طـمـوحـي تـخـلّـد فـعـلـي اخـبـــاري      فـ ارشـيـــف تــــاريـخ الافـعـال ووثـايـقـهـا,قصر زعبيل,وانا طموحي تخلد فعلي اخباري      ف ارشيف تاريخ الافعال ووثايقها,,,,
8,82,قصر زعبيل,نـجـاحـي لـشـخـصي اعــداءه يـا أنـصـاري      أكـيـد مـنـطــقـه مـا يـشــبـه لـمـنـطـقـهــا,قصر زعبيل,نجاحي لشخصي اعداءه يا انصاري      اكيد منطقه ما يشبه لمنطقها,,,,
8,83,قصر زعبيل,من يـامـر بـسـتر خـلـق الله وهـو عــاري      نـصـيـحـتـه مـن عـلى نـفـسـه يـطـبّـقـهـا,قصر زعبيل,من يامر بستر خلق الله وهو عاري      نصيحته من علي نفسه يطبقها,,,,
8,84,قصر زعبيل,مـن كـثر مـا اخـاطـب الـعـالـم بـمـعـيـاري      دايــم أمـيّـــــز لـكـــــاذبـهـا وصــــادقـهـا,قصر زعبيل,من كثر ما اخاطب العالم بمعياري      دايم اميز لكاذبها وصادقها,,,,
8,85,قصر زعبيل,صـحــيـح انـا مـا مـعـي جـنـّـه ولا نـــاري      لـكـن ربّــــــي خـلــــق خـلـقــــــه وفـرّقـهـا,قصر زعبيل,صحيح انا ما معي جنه ولا ناري      لكن ربي خلق خلقه وفرقها,,,,
8,86,قصر زعبيل,من شرفة القصر اناظر خلف الاسواري      وجـيـه نــــــاس ٍعـســى ربّـــــي يـوفـّـقــهـا,قصر زعبيل,من شرفه القصر اناظر خلف الاسواري      وجيه ناس عسي ربي يوفقها,,,,
8,87,قصر زعبيل,ويزيـد عزمـي بفـعـل الـخير واصـراري      فـي خـدمـــة بـــلاد برق الـعــز بـارقـهــا,قصر زعبيل,ويزيد عزمي بفعل الخير واصراري      في خدمه بلاد برق العز بارقها,,,,
8,88,قصر زعبيل,والـطـيـب قـصّـه وفـيها مـعـظـم اسراري      والــذل نـــار ونــفـوس الــذل يـحـرقـها,قصر زعبيل,والطيب قصه وفيها معظم اسراري      والذل نار ونفوس الذل يحرقها,,,,
8,89,قصر زعبيل,يا قـصر ( زعـبـيل ) دامك بالحزن داري      لا تـعـلّـم ( دبـــي ) وتـبـكـّـي مـنـاطـقـهـا,قصر زعبيل,يا قصر ( زعبيل ) دامك بالحزن داري      لا تعلم ( دبي ) وتبكي مناطقها,,,,
8,90,قصر زعبيل,الحزن اخوي الصـغير وضيفي وجاري      فـي غربـة الأرض الوسـيـعه أو مشارقها,قصر زعبيل,الحزن اخوي الصغير وضيفي وجاري      في غربه الارض الوسيعه او مشارقها,,,,
8,91,قصر زعبيل,مافـي عـيـوني سـوى دمـعـات تـذكــاري      لـولا السـحا مـن مـحاجـر عـيني أعـتـقـهـا,قصر زعبيل,مافي عيوني سوي دمعات تذكاري      لولا السحا من محاجر عيني اعتقها,,,,
9,92,قلب السبع,من جـايع الوصـل .. للّي حبّها شـبعه      لا اطربني الشوق كيف اشبع من الطربه,قلب السبع,من جايع الوصل .. للي حبها شبعه      لا اطربني الشوق كيف اشبع من الطربه,,,,
9,93,قلب السبع,حُـر الهـوى لو يلومه في الهـوى تِبعـه      ما شاف مخلابه اللي مدميٍ خِـربه,قلب السبع,حر الهوي لو يلومه في الهوي تبعه      ما شاف مخلابه اللي مدمي خربه,,,,
9,94,قلب السبع,من حصّل اللي خذا قلبي وانا تَـبعه      قلبـي على دربـها ، وآنـا عـلى دربـه,قلب السبع,من حصل اللي خذا قلبي وانا تبعه      قلبي علي دربها ، وانا علي دربه,,,,
9,95,قلب السبع,غزالـة الـوادي اللي جـرّحـت سِـبعـه      من شرق قلب السبع تخـتال لا غربه,قلب السبع,غزاله الوادي اللي جرحت سبعه      من شرق قلب السبع تختال لا غربه,,,,
9,96,قلب السبع,خذت من القلب ثلث الشـوق أو رُبـعـه      بالنظـره الواثقـه ، والـهرجه الــذربـه,قلب السبع,خذت من القلب ثلث الشوق او ربعه      بالنظره الواثقه ، والهرجه الذربه,,,,
9,97,قلب السبع,والكـره .. مثل السحابه في شهر سبعه      ما تنـبت العشـب وَلاَ تسـقي التـربه,قلب السبع,والكره .. مثل السحابه في شهر سبعه      ما تنبت العشب ولا تسقي التربه,,,,
9,98,قلب السبع,والـحب .. نهـرٍ مصـبّه فاض من نبـعه      شـوفه يكفّـيك يالظـميان عن شربه,قلب السبع,والحب .. نهر مصبه فاض من نبعه      شوفه يكفيك يالظميان عن شربه,,,,
9,99,قلب السبع,والوصل .. مثل الشجاع الشهم في رَبعه      ما يرهـب السيف وَلاَ يرهب الحربـه,قلب السبع,والوصل .. مثل الشجاع الشهم في ربعه      ما يرهب السيف ولا يرهب الحربه,,,,
9,100,قلب السبع,والهجر .. مثل الذليل اللي فشل طبعـه      من ذلّه .. الناس محدٍ يطمع فْـ قربه,قلب السبع,والهجر .. مثل الذليل اللي فشل طبعه      من ذله .. الناس محد يطمع ف قربه,,,,
