Row_number,poem_id,Title,Text content,Title_cleaned,Text_cleaned
61,6,لا تلبـس ذهـب,لا ترتـهـب مـا فـيـه واحـد يرتـهـــب	مـن واحـد يْـحـــبّـه وخـفـّـاقـه يـبـيــه,لا تلبس ذهب,لا ترتهب ما فيه واحد يرتهب	من واحد يحبه وخفاقه يبيه
62,6,لا تلبـس ذهـب,أنا فـْ مـهــب الـريــــح إلاّ انـت فـْ مـهــب	شـوق ٍسـكـن قلـبـي وقـلـبـي مـحـتـويـه,لا تلبس ذهب,انا ف مهب الريح الا انت ف مهب	شوق سكن قلبي وقلبي محتويه
63,6,لا تلبـس ذهـب,ذهـب مـعـك قلـبـي .. يالـيـتـه ما ذهب	لا قلـت عـوّد قـال انـا بـامـــوت فـيـه,لا تلبس ذهب,ذهب معك قلبي ياليته ما ذهب	لا قلت عود قال انا باموت فيه
64,6,لا تلبـس ذهـب,تـدري وش يْخـلـّي جـروحـي تلتهـب؟	إنـّي أخـلـّي شــــيّ .. وآنـا مـشـتـهـيـه,لا تلبس ذهب,تدري وش يخلي جروحي تلتهب	اني اخلي شي وانا مشتهيه
65,7,لا تسـأل مجـرّب,حبيـبتي حالـي من الشــوق دانــي	أشــرّق بحـبّــك .. واعـوّد أغـرّب,لا تسال مجرب,حبيبتي حالي من الشوق داني	اشرق بحبك واعود اغرب
66,7,لا تسـأل مجـرّب,أنـانـي فْـ وصـلك لـكـن يالأنـاني	تـرى الأنانـيّـه فْـ طـبـعـك تـخــرّب,لا تسال مجرب,اناني ف وصلك لكن يالاناني	ترى الانانيه ف طبعك تخرب
67,7,لا تسـأل مجـرّب,لحظات حبّـك حطّـمت لي كـياني	والحزن من بين الـمحـاني تـسـرّب,لا تسال مجرب,لحظات حبك حطمت لي كياني	والحزن من بين المحاني تسرب
68,7,لا تسـأل مجـرّب,تـسـرّب وصـكّـت عـلـيه الـمـحاني	كـنّـه لـوصـلك بالـجـروح يْـتـقـرّب,لا تسال مجرب,تسرب وصكت عليه المحاني	كنه لوصلك بالجروح يتقرب
69,7,لا تسـأل مجـرّب,يا مْعـرّب الأنـسـاب خـدر العـياني	سِـلْـم العـرب لا تجهـله يـالـمـعـرّب,لا تسال مجرب,يا معرب الانساب خدر العياني	سلم العرب لا تجهله يالمعرب
70,7,لا تسـأل مجـرّب,شـربت حـبّـك لين فـاض الحناني	وقامـت عروقي من غـلاك تْـشـرّب,لا تسال مجرب,شربت حبك لين فاض الحناني	وقامت عروقي من غلاك تشرب
71,7,لا تسـأل مجـرّب,ياللي تـقـول اسـأل مجـرّب تـراني	سألـت واحـد .. بس قـام يْـتهــرّب,لا تسال مجرب,ياللي تقول اسال مجرب تراني	سالت واحد بس قام يتهرب
72,7,لا تسـأل مجـرّب,لا تسـأل مجـرّب يا قـلـب وتعـاني	إسأل طبـيب وْ خل عـنك الـمجـرّب,لا تسال مجرب,لا تسال مجرب يا قلب وتعاني	اسال طبيب و خل عنك المجرب
73,8,قصر زعبيل,للـشـعـر فـكـره وللـهــاجـس مـيـة طــاري	تــرزّ للــقـمّــــــــــه الـعـــلــيـــا بـيــــــــارقـهــا,قصر زعبيل,للشعر فكره وللهاجس مية طاري	ترز للقمه العليا بيارقها
74,8,قصر زعبيل,وقـصـيدتي من حـصـيلة نـاتـج افـكــاري	كـل الـقـصـــايـد الى مـن جـات تـفـرقـها,قصر زعبيل,وقصيدتي من حصيلة ناتج افكاري	كل القصايد الى من جات تفرقها
75,8,قصر زعبيل,لـو أبـغــي أغــرّق الـســاحـه بـإبـحـــاري	غـرّقـــتـهــا بس انـا مـا احــــب اغـرّقــهــا,قصر زعبيل,لو ابغي اغرق الساحه بابحاري	غرقتها بس انا ما احب اغرقها
76,8,قصر زعبيل,أرسـم مـلامـح طـمـوحاتي فـي أشـعـاري	واحـاول اني قبل ما امــــوت احـقـقـهـا,قصر زعبيل,ارسم ملامح طموحاتي في اشعاري	واحاول اني قبل ما اموت احققها
77,8,قصر زعبيل,واعرف مـقـدار غـيـري قبل مـقــــداري	واخـطاء نـفـسي على غـيـري ما اعـلـّقها,قصر زعبيل,واعرف مقدار غيري قبل مقداري	واخطاء نفسي على غيري ما اعلقها
78,8,قصر زعبيل,لـكـن مــشـــوار عـمـــري لى مـتى ســــاري	أرهـقـت نـفـسـي وما ادري لـيه مرهـقـهـا,قصر زعبيل,لكن مشوار عمري لى متى ساري	ارهقت نفسي وما ادري ليه مرهقها
79,8,قصر زعبيل,قدام تـتـعـب قـدم رجـلـي يـا مـشـواري	الايـــــام ســاعــاتـهـا تـشـــــرح دقـايـقــهـا,قصر زعبيل,قدام تتعب قدم رجلي يا مشواري	الايام ساعاتها تشرح دقايقها
80,8,قصر زعبيل,مـراحـل الـعـمـر تـجري والـزمـن جـاري	والـنـاس تـفـنـى ويـبـقـى وجـــه خـالـقـهـا,قصر زعبيل,مراحل العمر تجري والزمن جاري	والناس تفنى ويبقى وجه خالقها
81,8,قصر زعبيل,وانـا طـمـوحـي تـخـلّـد فـعـلـي اخـبـــاري	فـ ارشـيـــف تــــاريـخ الافـعـال ووثـايـقـهـا,قصر زعبيل,وانا طموحي تخلد فعلي اخباري	ف ارشيف تاريخ الافعال ووثايقها
82,8,قصر زعبيل,نـجـاحـي لـشـخـصي اعــداءه يـا أنـصـاري	أكـيـد مـنـطــقـه مـا يـشــبـه لـمـنـطـقـهــا,قصر زعبيل,نجاحي لشخصي اعداءه يا انصاري	اكيد منطقه ما يشبه لمنطقها
83,8,قصر زعبيل,من يـامـر بـسـتر خـلـق الله وهـو عــاري	نـصـيـحـتـه مـن عـلى نـفـسـه يـطـبّـقـهـا,قصر زعبيل,من يامر بستر خلق الله وهو عاري	نصيحته من على نفسه يطبقها
84,8,قصر زعبيل,مـن كـثر مـا اخـاطـب الـعـالـم بـمـعـيـاري	دايــم أمـيّـــــز لـكـــــاذبـهـا وصــــادقـهـا,قصر زعبيل,من كثر ما اخاطب العالم بمعياري	دايم اميز لكاذبها وصادقها
85,8,قصر زعبيل,صـحــيـح انـا مـا مـعـي جـنـّـه ولا نـــاري	لـكـن ربّــــــي خـلــــق خـلـقــــــه وفـرّقـهـا,قصر زعبيل,صحيح انا ما معي جنه ولا ناري	لكن ربي خلق خلقه وفرقها
86,8,قصر زعبيل,من شرفة القصر اناظر خلف الاسواري	وجـيـه نــــــاس ٍعـســى ربّـــــي يـوفـّـقــهـا,قصر زعبيل,من شرفة القصر اناظر خلف الاسواري	وجيه ناس عسى ربي يوفقها
87,8,قصر زعبيل,ويزيـد عزمـي بفـعـل الـخير واصـراري	فـي خـدمـــة بـــلاد برق الـعــز بـارقـهــا,قصر زعبيل,ويزيد عزمي بفعل الخير واصراري	في خدمة بلاد برق العز بارقها
88,8,قصر زعبيل,والـطـيـب قـصّـه وفـيها مـعـظـم اسراري	والــذل نـــار ونــفـوس الــذل يـحـرقـها,قصر زعبيل,والطيب قصه وفيها معظم اسراري	والذل نار ونفوس الذل يحرقها
89,8,قصر زعبيل,يا قـصر ( زعـبـيل ) دامك بالحزن داري	لا تـعـلّـم ( دبـــي ) وتـبـكـّـي مـنـاطـقـهـا,قصر زعبيل,يا قصر زعبيل دامك بالحزن داري	لا تعلم دبي وتبكي مناطقها
90,8,قصر زعبيل,الحزن اخوي الصـغير وضيفي وجاري	فـي غربـة الأرض الوسـيـعه أو مشارقها,قصر زعبيل,الحزن اخوي الصغير وضيفي وجاري	في غربة الارض الوسيعه او مشارقها
91,8,قصر زعبيل,مافـي عـيـوني سـوى دمـعـات تـذكــاري	لـولا السـحا مـن مـحاجـر عـيني أعـتـقـهـا,قصر زعبيل,مافي عيوني سوى دمعات تذكاري	لولا السحا من محاجر عيني اعتقها
92,9,قلب السبع,من جـايع الوصـل .. للّي حبّها شـبعه	لا اطربني الشوق كيف اشبع من الطربه,قلب السبع,من جايع الوصل للي حبها شبعه	لا اطربني الشوق كيف اشبع من الطربه
93,9,قلب السبع,حُـر الهـوى لو يلومه في الهـوى تِبعـه	ما شاف مخلابه اللي مدميٍ خِـربه,قلب السبع,حر الهوى لو يلومه في الهوى تبعه	ما شاف مخلابه اللي مدمي خربه
94,9,قلب السبع,من حصّل اللي خذا قلبي وانا تَـبعه	قلبـي على دربـها، وآنـا عـلى دربـه,قلب السبع,من حصل اللي خذا قلبي وانا تبعه	قلبي على دربها وانا على دربه
95,9,قلب السبع,غزالـة الـوادي اللي جـرّحـت سِـبعـه	من شرق قلب السبع تخـتال لا غربه,قلب السبع,غزالة الوادي اللي جرحت سبعه	من شرق قلب السبع تختال لا غربه
96,9,قلب السبع,خذت من القلب ثلث الشـوق أو رُبـعـه	بالنظـره الواثقـه، والـهرجه الــذربـه,قلب السبع,خذت من القلب ثلث الشوق او ربعه	بالنظره الواثقه والهرجه الذربه
97,9,قلب السبع,والكـره .. مثل السحابه في شهر سبعه	ما تنـبت العشـب وَلاَ تسـقي التـربه,قلب السبع,والكره مثل السحابه في شهر سبعه	ما تنبت العشب ولا تسقي التربه
98,9,قلب السبع,والـحب .. نهـرٍ مصـبّه فاض من نبـعه	شـوفه يكفّـيك يالظـميان عن شربه,قلب السبع,والحب نهر مصبه فاض من نبعه	شوفه يكفيك يالظميان عن شربه
99,9,قلب السبع,والوصل .. مثل الشجاع الشهم في رَبعه	ما يرهـب السيف وَلاَ يرهب الحربـه,قلب السبع,والوصل مثل الشجاع الشهم في ربعه	ما يرهب السيف ولا يرهب الحربه
100,9,قلب السبع,والهجر .. مثل الذليل اللي فشل طبعـه	من ذلّه .. الناس محدٍ يطمع فْـ قربه,قلب السبع,والهجر مثل الذليل اللي فشل طبعه	من ذله الناس محد يطمع ف قربه
101,10,شـعب الإمـارات,مداخيل الشعر وايد، وانا شاعر ولي مدخال	ولكـن الـمخـــارج ما هي تـشـــابـه مــداخلـها,شعب الامارات,مداخيل الشعر وايد وانا شاعر ولي مدخال	ولكن المخارج ما هي تشابه مداخلها
102,10,شـعب الإمـارات,وانا بين الـمخارج والمداخل يوم طاب الفـال	جـبرت آخر بـيـوت الـمـفردات ينافـس اوّلـها,شعب الامارات,وانا بين المخارج والمداخل يوم طاب الفال	جبرت اخر بيوت المفردات ينافس اولها
103,10,شـعب الإمـارات,سبحت من الشعر بحر وملكت من البيوت جزال	وهي ماهـي بْـمـهـنـه، لكـن افـكـاري تـداولـهـا,شعب الامارات,سبحت من الشعر بحر وملكت من البيوت جزال	وهي ماهي بمهنه لكن افكاري تداولها
104,10,شـعب الإمـارات,من اغلى الإمنيـات اللي من القلب وتمر البـال	صنعت اغلى البيـوت اللي تبيّض وَجه قايلـها,شعب الامارات,من اغلى الامنيات اللي من القلب وتمر البال	صنعت اغلى البيوت اللي تبيض وجه قايلها
105,10,شـعب الإمـارات,أغذّيـها باحـاسيـسٍ لـها فـي خافـقـي مدهـال	لـها كـفّـي مـطـيـعــــه يوم تـكـتـبـها أنـامـلــهـا,شعب الامارات,اغذيها باحاسيس لها في خافقي مدهال	لها كفي مطيعه يوم تكتبها اناملها
106,10,شـعب الإمـارات,لو ان افكـار شـعري خيل، ما تلقى لها خيّـال	سوى فكري تحلّـق فـي الفضـا يوم آتخـيّلـهــا,شعب الامارات,لو ان افكار شعري خيل ما تلقى لها خيال	سوى فكري تحلق في الفضا يوم اتخيلها
107,10,شـعب الإمـارات,على الدوله وريّسـها (خليفـة ) قـايد الأبطـال	هـماليـل السـحاب اللي غـصـون الأرض بـلّـلـها,شعب الامارات,على الدوله وريسها خليفة قايد الابطال	هماليل السحاب اللي غصون الارض بللها
108,10,شـعب الإمـارات,أبارك له فـي شهـر ٍنـزّل القـرآن فيـه انـزال	يضـم مْن اللـيـالي لـيـلة الـقـدر وفـضــايـلـها,شعب الامارات,ابارك له في شهر نزل القران فيه انزال	يضم من الليالي ليلة القدر وفضايلها
109,10,شـعب الإمـارات,أردّدها على الاطـلال .. وتردّد معي الاطـلال	يالين اسـمـع صـداهـا والـمـخـالـيق تْـنـاقلــها,شعب الامارات,ارددها على الاطلال وتردد معي الاطلال	يالين اسمع صداها والمخاليق تناقلها
110,10,شـعب الإمـارات,لو ان دلّـة هل الأمـجاد ما مـعـها سوى فـنيال	ترى الـفـنيال فـي راحـة يـمـيـنه يا مهـيّـلـها,شعب الامارات,لو ان دلة هل الامجاد ما معها سوى فنيال	ترى الفنيال في راحة يمينه يا مهيلها
111,10,شـعب الإمـارات,في كل بلاد له كلمه، والى من قال قال وْطال	يطول جبال الارض وكف ابو سلطـان أطولـهـا,شعب الامارات,في كل بلاد له كلمه والى من قال قال وطال	يطول جبال الارض وكف ابو سلطان اطولها
112,10,شـعب الإمـارات,مع شـعـب الـعروبه مـوقفه تـفخر به الأجيال	والى من مالت احـوال العـرب وقّـف وعدّلـهـا,شعب الامارات,مع شعب العروبه موقفه تفخر به الاجيال	والى من مالت احوال العرب وقف وعدلها
113,10,شـعب الإمـارات,ولابو راشد من الـمجد التليد العز والإجلال	وْمن الألقـاب أشرف ما حوت الالقـاب وانبلـهـا,شعب الامارات,ولابو راشد من المجد التليد العز والاجلال	ومن الالقاب اشرف ما حوت الالقاب وانبلها
114,10,شـعب الإمـارات,(صلاح الدين ) فخـرٍ للعروبه يا هل الأمثـال	وابو راشد (صلاح الدين) لاهل الأرض باكملها,شعب الامارات,صلاح الدين فخر للعروبه يا هل الامثال	وابو راشد صلاح الدين لاهل الارض باكملها
