Id,Title,Audio,Video,Audio2
216,يحسب حساب,PoetryMedia\216\216_audio_1.mp3,,
217,يراودك .. و يراودني,PoetryMedia\217\217_audio_1.mp3,,
219,إجلس مع نفسك,PoetryMedia\219\219_audio_1.mp3,,
221,سيداتي .. انساتي .. سادتي,PoetryMedia\221\221_audio_1.mp3,,
226,ثلاثية نصر,PoetryMedia\226\226_audio_1.mp3,,
227,سلام من فزاع لأهل الهجن,PoetryMedia\227\227_audio_1.mp3,,
231,موطن الفخر,PoetryMedia\231\231_audio_1.mp3,,
233,فلم الطهاره,PoetryMedia\233\233_audio_1.mp3,,
234,كبريت واحد .. وألف غابـة,PoetryMedia\234\234_audio_1.mp3,,
235,الجار للجـار ..,PoetryMedia\235\235_audio_1.mp3,,
236,واجب الصحبه,PoetryMedia\236\236_audio_1.mp3,,
237,مهبط الأحلام,PoetryMedia\237\237_audio_1.mp3,,
238,وجه الحياة الثاني,PoetryMedia\238\238_audio_1.mp3,,
239,انا والبواخر ..,PoetryMedia\239\239_audio_1.mp3,,
240,قبـر الشهيـد,PoetryMedia\240\240_audio_1.mp3,,
241,كـلـمـة أخـي,PoetryMedia\241\241_audio_1.mp3,,
242,فكّــر شـوّي,PoetryMedia\242\242_audio_1.mp3,,
245,ملهم القصيدة,PoetryMedia\245\245_audio_1.mp3,,
247,هدهد سليمان,PoetryMedia\247\247_audio_1.mp3,,
248,أم الإمارات,PoetryMedia\248\248_audio_1.mp3,,
250,إفتـرت,PoetryMedia\250\250_audio_1.mp3,,
251,القـادر,PoetryMedia\251\251_audio_1.mp3,PoetryMedia\251\251_video_1.mp4,
252,إفهـم مكـانـك,PoetryMedia\252\252_audio_1.mp3,,
253,اعذروا رماح,PoetryMedia\253\253_audio_1.mp3,,
257,مْيَدانُ التّفاخُر,PoetryMedia\257\257_audio_1.mp3,,
258,الـزعيـم الـمُـلْـهِــم,PoetryMedia\258\258_audio_1.mp3,PoetryMedia\258\258_video_1.mp4,
261,الحـزن راحـه,PoetryMedia\261\261_audio_1.mp3,PoetryMedia\261\261_video_1.mp4,
262,صاحـب الهجـر,PoetryMedia\262\262_audio_1.mp3,,
262,صاحـب الهجـر,PoetryMedia\262\262_audio_2.mp3,,
263,ميـلاد أبوخالـد,PoetryMedia\263\263_audio_1.mp3,,
264,مفهـوم,PoetryMedia\264\264_audio_1.mp3,PoetryMedia\264\264_video_1.mp4,
266,الطرشه خليّـه,PoetryMedia\266\266_audio_1.mp3,PoetryMedia\266\266_video_1.mp4,
267,تــامر عـليّــه,PoetryMedia\267\267_audio_1.mp3,PoetryMedia\267\267_video_1.mp4,
269,زبون الصـبر,PoetryMedia\269\269_audio_1.mp3,PoetryMedia\269\269_video_1.mp4,
271,مدّةٍ وافيه,PoetryMedia\271\271_audio_1.mp3,PoetryMedia\271\271_video_1.mp4,
272,وقفة عرفة,PoetryMedia\272\272_audio_1.mp3,PoetryMedia\272\272_video_1.mp4,
273,الكـبـر لله,,PoetryMedia\273\273_video_1.mp4,
274,الورده ارتاحت,PoetryMedia\274\274_audio_1.mp3,PoetryMedia\274\274_video_1.mp4,
275,قمّـة الإلتحـام,PoetryMedia\275\275_audio_1.mp3,PoetryMedia\275\275_video_1.mp4,
276,هــدّاد,,PoetryMedia\276\276_video_1.mp4,
278,شنـذاره,,PoetryMedia\278\278_video_1.mp4,
279,قنيب الذيب,,PoetryMedia\279\279_video_1.mp4,
282,ثلاثمية قصيدة,PoetryMedia\282\282_audio_1.mp3,PoetryMedia\282\282_video_1.mp4,
283,وقفة عرفات,PoetryMedia\283\283_audio_1.mp3,PoetryMedia\283\283_video_1.mp4,
284,هديل,PoetryMedia\284\284_audio_1.mp3,PoetryMedia\284\284_video_1.mp4,
286,بينـك وبيـنه,PoetryMedia\286\286_audio_1.mp3,PoetryMedia\286\286_video_1.mp4,
287,​راحت سنه,PoetryMedia\287\287_audio_1.mp3,,
288,خمسين عام قبل و بعـد,PoetryMedia\288\288_audio_1.mp3,PoetryMedia\288\288_video_1.mp4,
289,في كل عام !!,PoetryMedia\289\289_audio_1.mp3,PoetryMedia\289\289_video_1.mp4,
290,شعار الدولة,PoetryMedia\290\290_audio_1.mp3,,
291,حكمة الحطّــاب,PoetryMedia\291\291_audio_1.mp3,PoetryMedia\291\291_video_1.mp4,
292,محيط افكار,PoetryMedia\292\292_audio_1.mp3,PoetryMedia\292\292_video_1.mp4,
295,وسـم,PoetryMedia\295\295_audio_1.mp3,PoetryMedia\295\295_video_1.mp4,
298,الظبي,PoetryMedia\298\298_audio_1.mp3,PoetryMedia\298\298_video_1.mp4,
299,الشميمي و الخـوي,PoetryMedia\299\299_audio_1.mp3,PoetryMedia\299\299_video_1.mp4,
301,مزهرية,PoetryMedia\301\301_audio_1.mp3,PoetryMedia\301\301_video_1.mp4,
302,رمز,PoetryMedia\302\302_audio_1.mp3,PoetryMedia\302\302_video_1.mp4,
304,ابو خالد,PoetryMedia\304\304_audio_1.mp3,PoetryMedia\304\304_video_1.mp4,
305,الميّت الحي,PoetryMedia\305\305_audio_1.mp3,PoetryMedia\305\305_video_1.mp4,
306,عجايب وشنذاره وغيّاث,PoetryMedia\306\306_audio_1.mp3,PoetryMedia\306\306_video_1.mp4,
308,دعاء,PoetryMedia\308\308_audio_1.mp3,PoetryMedia\308\308_video_1.mp4,
309,درب الشعر,PoetryMedia\309\309_audio_1.mp3,PoetryMedia\309\309_video_1.mp4,
310,عن هنا من هناك,PoetryMedia\310\310_audio_1.mp3,PoetryMedia\310\310_video_1.mp4,
313,زايد بن حمدان,PoetryMedia\313\313_audio_1.mp3,PoetryMedia\313\313_video_1.mp4,
315,ما عنه صدود,PoetryMedia\315\315_audio_1.mp3,PoetryMedia\315\315_video_1.mp4,
316,فزاع و سفّاح,PoetryMedia\316\316_audio_1.mp3,PoetryMedia\316\316_video_1.mp4,
319,رسالة حزن,PoetryMedia\319\319_audio_1.mp3,PoetryMedia\319\319_video_1.mp4,
321,خلاّبه,PoetryMedia\321\321_audio_1.mp3,PoetryMedia\321\321_video_1.mp4,
323,الديم,PoetryMedia\323\323_audio_1.mp3,PoetryMedia\323\323_video_1.mp4,
325,رابع يوم,PoetryMedia\325\325_audio_1.mp3,PoetryMedia\325\325_video_1.mp4,
325,رابع يوم,PoetryMedia\325\325_audio_2.mp3,,
328,بيني وبينك,PoetryMedia\328\328_audio_1.mp3,PoetryMedia\328\328_video_1.mp4,
328,بيني وبينك,PoetryMedia\328\328_audio_2.mp3,,
